incident_id,category,status,satisfaction_score
INC-0001,tracking,en_progreso,
INC-0002,devolucion,cerrado,3.2
INC-0003,facturacion,descartado,
INC-0004,soporte,abierto,
INC-0005,logistica,en_progreso,
INC-0006,tracking,cerrado,3.6
INC-0007,devolucion,descartado,
INC-0008,facturacion,abierto,
INC-0009,soporte,en_progreso,
INC-0010,logistica,cerrado,4.0
INC-0011,tracking,descartado,
INC-0012,devolucion,abierto,
INC-0013,facturacion,en_progreso,
INC-0014,soporte,cerrado,4.4
INC-0015,logistica,descartado,
INC-0016,tracking,abierto,
INC-0017,devolucion,en_progreso,
INC-0018,facturacion,cerrado,4.8
INC-0019,soporte,descartado,
INC-0020,logistica,abierto,
INC-0021,tracking,en_progreso,
INC-0022,devolucion,cerrado,3.2
INC-0023,facturacion,descartado,
INC-0024,soporte,abierto,
INC-0025,logistica,en_progreso,
INC-0026,tracking,cerrado,3.6
INC-0027,devolucion,descartado,
INC-0028,facturacion,abierto,
INC-0029,soporte,en_progreso,
INC-0030,logistica,cerrado,4.0
INC-0031,tracking,descartado,
INC-0032,devolucion,abierto,
INC-0033,facturacion,en_progreso,
INC-0034,soporte,cerrado,4.4
INC-0035,logistica,descartado,
INC-0036,tracking,abierto,
INC-0037,devolucion,en_progreso,
INC-0038,facturacion,cerrado,4.8
INC-0039,soporte,descartado,
INC-0040,logistica,abierto,
INC-0041,tracking,en_progreso,
INC-0042,devolucion,cerrado,3.2
INC-0043,facturacion,descartado,
INC-0044,soporte,abierto,
INC-0045,logistica,en_progreso,
INC-0046,tracking,cerrado,3.6
INC-0047,devolucion,descartado,
INC-0048,facturacion,abierto,
INC-0049,soporte,en_progreso,
INC-0050,logistica,cerrado,4.0
INC-0051,tracking,descartado,
INC-0052,devolucion,abierto,
INC-0053,facturacion,en_progreso,
INC-0054,soporte,cerrado,4.4
INC-0055,logistica,descartado,
INC-0056,tracking,abierto,
INC-0057,devolucion,en_progreso,
INC-0058,facturacion,cerrado,4.8
INC-0059,soporte,descartado,
INC-0060,logistica,abierto,
INC-0061,tracking,en_progreso,
INC-0062,devolucion,cerrado,3.2
INC-0063,facturacion,descartado,
INC-0064,soporte,abierto,
INC-0065,logistica,en_progreso,
INC-0066,tracking,cerrado,3.6
INC-0067,devolucion,descartado,
INC-0068,facturacion,abierto,
INC-0069,soporte,en_progreso,
INC-0070,logistica,cerrado,4.0
INC-0071,,abierto,
INC-0072,,abierto,
INC-0073,,abierto,
INC-0074,,abierto,
INC-0075,,abierto,
INC-0076,,abierto,
INC-0077,,abierto,
INC-0078,,abierto,
INC-0079,,abierto,
INC-0080,,abierto,
INC-0081,categoria_invalida,cerrado,4.0
INC-0082,categoria_invalida,cerrado,4.0
INC-0083,categoria_invalida,cerrado,4.0
INC-0084,categoria_invalida,cerrado,4.0
INC-0085,categoria_invalida,cerrado,4.0
INC-0086,categoria_invalida,cerrado,4.0
INC-0087,categoria_invalida,cerrado,4.0
INC-0088,categoria_invalida,cerrado,4.0
INC-0089,categoria_invalida,cerrado,4.0
INC-0090,categoria_invalida,cerrado,4.0
INC-0091,tracking,estado_invalido,
INC-0092,tracking,estado_invalido,
INC-0093,tracking,estado_invalido,
INC-0094,tracking,estado_invalido,
INC-0095,tracking,estado_invalido,
INC-0096,tracking,estado_invalido,
INC-0097,tracking,estado_invalido,
INC-0098,tracking,estado_invalido,
INC-0099,tracking,estado_invalido,
INC-0100,tracking,estado_invalido,
